epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1853,1.75666,3.72766,1.55459,0.00066,0.08889,0.00125,0.00019,1.00949,4.49194,1.20783,0.000317429,0.000317429,0.000317429
2,77.9752,1.21191,3.56172,1.28161,0.02115,0.18889,0.03318,0.00755,1.4459,4.56596,1.49559,0.000687295,0.000687295,0.000687295
3,116.039,1.21131,3.0302,1.21289,0.01812,0.46667,0.08366,0.01276,1.52285,4.53863,1.63705,0.00105523,0.00105523,0.00105523
4,154.814,1.29854,2.72615,1.29273,0.01603,0.6,0.12158,0.02635,1.55702,4.42054,1.74628,0.00110423,0.00110423,0.00110423
5,193.25,1.3239,2.60337,1.35317,0.01618,0.62222,0.13148,0.0343,1.59313,4.38147,1.74044,0.00109898,0.00109898,0.00109898
6,231.495,1.46347,2.30147,1.44658,0.01453,0.66667,0.15153,0.03539,1.50242,4.26283,1.62202,0.00109226,0.00109226,0.00109226
7,268.555,1.23751,2.08434,1.28877,0.01115,0.62222,0.15093,0.0267,1.70123,4.28916,1.7631,0.00108408,0.00108408,0.00108408
8,305.732,1.2328,2.391,1.28107,0.01552,0.73333,0.25498,0.04458,1.74169,4.16435,1.72116,0.00107447,0.00107447,0.00107447
9,342.573,1.24702,1.79646,1.28756,0.0164,0.81111,0.3382,0.06596,1.74312,4.04616,1.66436,0.00106345,0.00106345,0.00106345
10,379.734,1.27353,1.76888,1.3154,0.37014,0.17038,0.26667,0.05388,1.57943,4.12049,1.65619,0.00105106,0.00105106,0.00105106
11,417.063,1.04508,3.26092,1.0917,0.7277,0.15173,0.5221,0.11265,1.64321,3.76528,1.61158,0.00103732,0.00103732,0.00103732
12,455.876,1.11298,1.54677,1.18877,0.77468,0.10055,0.44973,0.19055,1.51621,3.53038,1.26326,0.00102228,0.00102228,0.00102228
